statement_id,Awareness,Doc_Referral,MH-Referral,Referral,Hotline
bai_10_0,TRUE,FALSE,FALSE,FALSE,FALSE
bai_10_1,TRUE,FALSE,TRUE,TRUE,FALSE
bai_10_2,TRUE,FALSE,TRUE,TRUE,FALSE
bai_10_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_11_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_11_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_11_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_11_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_12_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_12_1,FALSE,TRUE,FALSE,TRUE,FALSE
bai_12_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_12_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_13_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_13_1,TRUE,TRUE,FALSE,TRUE,FALSE
bai_13_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_13_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_14_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_14_1,FALSE,FALSE,FALSE,FALSE,FALSE
bai_14_2,FALSE,FALSE,FALSE,FALSE,FALSE
bai_14_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_15_0,TRUE,FALSE,FALSE,FALSE,FALSE
bai_15_1,TRUE,FALSE,FALSE,FALSE,FALSE
bai_15_2,TRUE,TRUE,FALSE,TRUE,FALSE
bai_15_3,TRUE,TRUE,FALSE,TRUE,FALSE
bai_16_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_16_1,TRUE,FALSE,FALSE,FALSE,FALSE
bai_16_2,TRUE,FALSE,FALSE,FALSE,FALSE
bai_16_3,TRUE,FALSE,TRUE,TRUE,FALSE
bai_17_0,FALSE,FALSE,FALSE,FALSE,FALSE
bai_17_1,TRUE,FALSE,TRUE,TRUE,FALSE
bai_17_2,TRUE,FALSE,TRUE,TRUE,FALSE
bai_17_3,TRUE,FALSE,TRUE,TRUE,TRUE
